Bus_id,Zone_id,Load_share,egon_etrago_electricity_cts,egon_etrago_electricity_households,industry,PointCount,MeanMappedDistance_km,MaxMappedDistance_km,Source,Method
B201,50Hertz,0.004596353124252321,0.0019697447021413917,0.0020326131740729136,0.0005939952480380156,71.02621061938855,9.903440234632855,70.87957332342698,egon_bus_demand_plus_industry_proxy,egon_bus_demand_softmapped_to_nearby_hope_buses_with_voltage_preference_within_inferred_tso_zone_plus_industry_proxy_fallback
B228,50Hertz,0.00527978443372853,0.0015935691078015016,0.002379425780243394,0.0013067895456836344,140.66766224203099,11.480155084779993,47.37275822338239,egon_bus_demand_plus_industry_proxy,egon_bus_demand_softmapped_to_nearby_hope_buses_with_voltage_preference_within_inferred_tso_zone_plus_industry_proxy_fallback
B23,50Hertz,0.004821486969447555,0.0011909416816306567,0.0018809592845049241,0.0017495860033119735,176.36479561536893,15.47530818064344,31.857768563006854,egon_bus_demand_plus_industry_proxy,egon_bus_demand_softmapped_to_nearby_hope_buses_with_voltage_preference_within_inferred_tso_zone_plus_industry_proxy_fallback
B233,50Hertz,0.0017932255399163368,0.0007897871680177009,0.0010034383718986357,0.0,7.2380116197644195,6.983860056891291,18.645361289912138,egon_bus_demand_plus_industry_proxy,egon_bus_demand_softmapped_to_nearby_hope_buses_with_voltage_preference_within_inferred_tso_zone_plus_industry_proxy_fallback
B24,50Hertz,0.0039077544689690175,0.0013555394102131514,0.0016558222298984973,0.0008963928288573691,106.06114798890091,17.552695559593513,61.075014586025404,egon_bus_demand_plus_industry_proxy,egon_bus_demand_softmapped_to_nearby_hope_buses_with_voltage_preference_within_inferred_tso_zone_plus_industry_proxy_fallback
B242,50Hertz,0.0017805516529005576,0.0007813395259635056,0.0007400142005204632,0.00025919792641658864,37.139963415534176,17.826749633220693,35.47169218105663,egon_bus_demand_plus_industry_proxy,egon_bus_demand_softmapped_to_nearby_hope_buses_with_voltage_preference_within_inferred_tso_zone_plus_industry_proxy_fallback
B256,50Hertz,0.0003112782623270547,0.00013491911043450703,0.00015475932469116523,2.1599827201382388e-05,4.446913908783348,39.23538494063695,46.44098841015455,egon_bus_demand_plus_industry_proxy,egon_bus_demand_softmapped_to_nearby_hope_buses_with_voltage_preference_within_inferred_tso_zone_plus_industry_proxy_fallback
B257,50Hertz,0.0005891487990914894,0.00019336963964487609,0.0002337804554362455,0.0001619987040103679,18.847450349997786,35.0690851333044,47.92334274054784,egon_bus_demand_plus_industry_proxy,egon_bus_demand_softmapped_to_nearby_hope_buses_with_voltage_preference_within_inferred_tso_zone_plus_industry_proxy_fallback
B259,50Hertz,0.0005741580570409461,0.0002760882085505558,0.0002980698484903903,0.0,3.0378946194351863,21.54978916593987,43.920395850201224,egon_bus_demand_plus_industry_proxy,egon_bus_demand_softmapped_to_nearby_hope_buses_with_voltage_preference_within_inferred_tso_zone_plus_industry_proxy_fallback
B260,50Hertz,0.0006049585980512514,0.0002788849871825267,0.0002828739564659599,4.3199654402764776e-05,6.608074352715064,8.861375127217475,29.047525431081095,egon_bus_demand_plus_industry_proxy,egon_bus_demand_softmapped_to_nearby_hope_buses_with_voltage_preference_within_inferred_tso_zone_plus_industry_proxy_fallback
B271,50Hertz,0.005439629562785189,0.0012939388658813004,0.0015429115191373105,0.002602779177766578,277.6888001584298,34.189010110281565,54.57366393594641,egon_bus_demand_plus_industry_proxy,egon_bus_demand_softmapped_to_nearby_hope_buses_with_voltage_preference_within_inferred_tso_zone_plus_industry_proxy_fallback
B277,50Hertz,0.007615398689406085,0.0018825380305026902,0.002060890034668388,0.0036719706242350062,396.83232455735487,17.05983434905993,54.653991013760205,egon_bus_demand_plus_industry_proxy,egon_bus_demand_softmapped_to_nearby_hope_buses_with_voltage_preference_within_inferred_tso_zone_plus_industry_proxy_fallback
B282,50Hertz,0.01276626341968119,0.004569524517799989,0.005971956700138816,0.002224782201742386,253.94552848948746,14.335789042880114,54.72334599316266,egon_bus_demand_plus_industry_proxy,egon_bus_demand_softmapped_to_nearby_hope_buses_with_voltage_preference_within_inferred_tso_zone_plus_industry_proxy_fallback
B288,50Hertz,0.0038454893984484276,0.0010072667422492876,0.001628632332921726,0.0012095903232774137,142.15229252726897,13.894722653211737,45.0459721717467,egon_bus_demand_plus_industry_proxy,egon_bus_demand_softmapped_to_nearby_hope_buses_with_voltage_preference_within_inferred_tso_zone_plus_industry_proxy_fallback
B289,50Hertz,0.00260527239065497,0.0006902949934344867,0.0011157837907693347,0.0007991936064511483,94.6525867005906,14.620757284769379,45.04499494175188,egon_bus_demand_plus_industry_proxy,egon_bus_demand_softmapped_to_nearby_hope_buses_with_voltage_preference_within_inferred_tso_zone_plus_industry_proxy_fallback
B290,50Hertz,0.014385872373515064,0.005363722796879736,0.00543657826120585,0.0035855713154294764,379.3591677630952,17.34948042495975,53.898230894029055,egon_bus_demand_plus_industry_proxy,egon_bus_demand_softmapped_to_nearby_hope_buses_with_voltage_preference_within_inferred_tso_zone_plus_industry_proxy_fallback
B291,50Hertz,0.008406159612713633,0.0038648817506111567,0.004346879417290035,0.0001943984448124415,46.48808825490484,16.926494358586293,67.0495646120932,egon_bus_demand_plus_industry_proxy,egon_bus_demand_softmapped_to_nearby_hope_buses_with_voltage_preference_within_inferred_tso_zone_plus_industry_proxy_fallback
