Longitude,Latitude,SettlementWeight
10.7357508,48.4597888,1036.0
8.6227577,49.6810158,39642.0
9.3838404,48.6727602,15554.0
9.3071685,48.7427584,92261.0
9.4184961,48.711173,13689.0
9.8855407,53.4716208,17009.0
9.8426482,53.4739581,27160.0
9.9374768,53.4878001,725.0
9.9284099,53.5967771,23818.0
9.9109317,53.5196541,5.0
10.797525,53.854454,400.0
8.698286,53.86878,49697.0
8.6334818,53.8616377,2951.0
8.674399,53.8832536,10.584
9.1595122,53.6886857,8714.0
9.9962167,53.4922921,54662.0
8.0056049,48.7521656,1943.0
8.0460292,48.7470818,1672.0
8.0591485,48.7337992,260.0
8.0480008,48.7650016,1492.0
9.8079161,53.5182412,4481.0
9.2816165,53.2954396,14376.0
11.3369898,49.7694317,4082.0
11.0037372,49.5977469,120028.0
8.4702066,48.9994421,30000.0
8.4076347,48.9414188,38819.0
11.6171165,54.1067652,2153.0
7.9825142,48.7357885,600.0
11.7556391,48.1601576,6000.0
11.756219,48.175748,7000.0
10.0038317,53.5963901,51549.0
9.9874317,53.5684065,16200.0
10.0480997,53.5988941,39890.0
9.9518083,52.1527188,98510.0
9.7526005,52.0679913,1499.0
9.7212127,52.0746284,2636.0
6.6134154,51.7702601,7090.0
6.6148669,51.8382715,70856.0
8.0585501,48.7773366,1370.0
8.0924882,48.6390302,5275.0
8.110948,48.6687192,6057.0
12.918914,50.8323531,243089.0
13.7381437,51.0493286,572240.0
10.0013165,53.5501721,1862565.0
11.8689293,48.1900713,12703.0
6.959974,50.938361,1069200.0
9.1251657,48.7789523,12685.0
9.1525726,48.7415827,3708.0
8.1872676,48.6868867,7863.0
8.8071646,53.0758196,551415.0
9.2047887,53.5159135,1498.0
9.0975626,53.6359676,3317.0
9.2352937,53.6423175,3445.0
9.1362085,53.4850249,18701.0
9.3854026,53.7095145,5470.0
11.479351,47.8646925,24892.0
11.1386677,48.3579139,1634.0
7.219985,51.5380394,156449.0
10.058728,53.6106843,19448.0
10.9380094,49.6842046,5191.0
7.5228088,51.6142482,90800.0
10.6926437,50.6086518,37300.0
9.0655061,50.0038042,8000.0
13.5235848,52.4843399,24292.0
13.6244389,52.2994511,38111.0
13.6219208,52.373076,6452.0
13.7997006,52.2557967,212.0
11.3852946,48.3018611,170.0
9.0188655,53.0594513,15413.0
8.4033079,48.3456021,6310.0
9.7003941,53.4767351,40122.0
11.6134032,48.6842075,9704.0
11.5729832,48.7314316,1601.0
12.8760923,47.7222676,17513.0
13.0020051,47.6330221,7741.0
12.9846526,47.6054955,5418.0
12.8452826,49.3081639,8953.0
11.3500213,50.0351634,2504.0
11.5743543,49.9446345,72295.0
11.5055461,50.1616746,2561.0
11.2918916,49.9389862,5180.0
12.3747329,51.3406321,628718.0
11.06382,50.14568,20169.0
11.4619333,50.2001141,1027.0
11.2980709,49.9758417,1180.0
9.3985114,49.6893618,570.0
10.9895721,49.815393,12586.0
11.05792,49.7200789,32907.0
8.837635,52.9731224,3885.0
11.4148038,53.6288297,98596.0
12.5753569,53.7709505,8671.0
12.7918145,53.8228766,1974.0
11.2614288,47.4417784,7926.0
11.4987688,49.9344858,5096.0
9.8585234,53.5308822,11657.0
8.7530238,53.6156419,1451.0
8.8580081,53.5079924,965.0
8.8466466,53.5612077,878.0
12.0886178,50.8516264,4900.0
12.0624222,50.8460265,23000.0
11.7163126,50.2349797,9470.0
12.9559905,51.5687423,1587.0
11.5282334,53.6965163,727.0
11.7158035,53.7344671,3169.0
12.693837,53.7524926,903.0
13.0820846,54.3096314,57301.0
10.135555,54.3227085,246306.0
10.2121481,53.9528957,9391.0
10.1675903,54.0057238,3386.0
8.4664085,48.9106109,1800.0
8.4702015,48.8963768,2800.0
11.3890505,50.1193039,314.0
11.3761976,50.0992499,6865.0
11.3830124,50.0925266,74.0
8.4611815,48.9314894,5400.0
10.0540445,53.8641461,1107.0
9.9809431,53.8997732,706.0
10.1810062,53.894853,1021.0
10.0231175,53.8434999,923.0
9.9815377,54.0757442,79197.0
10.1251893,53.8514614,901.0
8.5673003,49.4735917,7664.0
11.6102245,48.0662249,23217.0
7.4652789,51.5142273,600933.0
10.8736501,49.9533976,2577.0
13.6118402,51.0016398,864.0
13.5881471,51.0326735,3407.0
10.684738,53.866444,212958.0
10.8237764,53.9933747,2391.0
10.8759851,53.9626895,11000.0
11.3618955,48.4937435,3349.0
11.4186595,48.4332797,2902.0
13.6539668,51.0281105,3000.0
12.7626208,48.4031909,13090.0
10.3203899,53.9163332,588.0
11.5975741,50.0627988,3475.0
11.5515384,50.0679558,1713.0
11.1127989,47.5306769,3767.0
11.4266377,47.9104632,19589.0
10.3124237,53.9729457,582.0
10.3218919,53.9627134,1427.0
7.3641981,49.248655,34084.0
7.5543118,49.4518819,8107.0
11.6527524,48.4589947,2621.0
8.8447903,51.8097549,8770.0
11.1785988,48.7373603,28184.0
11.7156265,48.0753076,5787.0
14.9361437,51.1175099,520.0
10.2353676,53.8967897,435.0
9.8183598,52.2015976,968.0
8.8519864,51.6956818,2739.0
10.8346661,49.6961588,1501.0
10.8047235,49.7035803,13158.0
10.7660971,49.6991489,1967.0
11.1592415,49.5939893,1556.0
11.1300058,49.6126495,8520.0
11.1288637,49.6372301,1302.0
10.8848831,49.971513,4671.0
11.0253544,49.6170259,500.0
11.1210915,49.5960879,2011.0
9.9309779,49.7933723,124700.0
9.8704454,49.8111074,4162.0
9.8723628,49.8324007,9736.0
9.68987,50.056483,10290.0
9.4706391,50.0638687,4500.0
9.8135353,52.1832233,1707.0
13.2209664,51.3521221,4342.0
13.308828,51.3038241,31760.0
6.62843,51.451283,105102.0
10.86006,49.9310802,1400.0
11.0077074,49.8593815,480.0
11.0263023,49.8241998,775.0
9.8421231,49.87993,2762.0
11.8136245,48.0220259,2135.0
11.2410609,49.3554558,8397.0
8.3454283,49.1240387,2610.0
8.276964,49.0950751,7538.0
8.2755944,49.1185093,4755.0
8.2911891,49.1539607,7819.0
11.2275665,49.8841962,1371.0
11.2400354,50.0850003,4845.0
9.3374117,53.3165879,4733.0
12.9845111,51.398113,634.0
12.9389605,51.2800216,6136.0
12.8908646,51.260158,2272.0
11.6066613,50.1070728,1995.0
12.3718819,51.2785751,24448.0
9.594287,52.3964639,32397.0
9.8534254,52.2340379,18237.0
12.8148294,51.5070183,1315.0
12.7425749,51.4987388,4411.0
12.6344389,51.4586736,17950.0
12.5645728,51.4224434,3141.0
11.1120696,50.111664,380.0
11.4695694,48.2896469,5052.0
7.6946627,53.7710589,746.0
7.481842,53.7462909,1986.0
7.3813665,53.7287123,554.0
6.9956079,53.6784483,1857.0
9.5583361,53.2007781,1979.0
6.6682175,53.5902946,5559.0
11.7949669,48.4094207,2980.0
10.964561,50.2582226,41405.0
12.5856428,51.5911653,8000.0
12.4977551,51.5164865,267.0
12.4486969,51.462961,4084.0
12.4327518,51.4562503,55.0
12.418329,51.4454553,252.0
11.0705889,49.6408889,2840.0
11.8662597,48.5482659,1904.0
11.133622,48.1673595,1514.0
11.1705596,48.163385,1406.0
11.7601946,48.5057366,2562.0
11.7679933,48.5900692,3175.0
10.826895,49.6232447,6175.0
9.8397516,52.2746747,4360.0
8.4003114,49.088332,15243.0
11.6753106,50.0492593,3047.0
9.5794661,48.9797657,14248.0
10.5605453,52.9649759,33991.0
11.6381168,48.3480923,1000.0
7.1024635,50.7352621,335913.0
7.0241165,50.6924755,5946.0
11.7445128,48.3182064,8363.0
11.6874543,48.3182682,2039.0
11.6468515,48.3645501,636.0
11.8043442,48.5370361,5033.0
11.9471187,48.5541355,1532.0
12.2486455,51.8434387,10110.0
12.2454911,51.7902046,1158.0
12.2415442,51.8055783,6158.0
11.827855,48.4360045,52.0
11.8183355,48.4313259,93.0
11.5229952,48.4238467,2304.0
11.5650146,48.4734938,1528.0
11.6048276,48.5039447,5000.0
8.7397624,48.7142691,22374.0
8.7321279,48.7712716,8996.0
11.7439565,48.4008273,45857.0
9.6727136,50.2611034,2232.0
11.8334118,48.4116837,173.0
11.8304698,48.4235449,59.0
11.8276735,48.0848806,8528.0
10.9132265,52.2500924,719.0
10.8171691,52.2499307,15666.0
10.8159231,52.3067981,450.0
10.7258257,52.2503903,496.0
11.81019,48.4398222,29.0
9.7912176,50.3101441,6400.0
9.9084296,50.3768644,3257.0
10.6132722,49.8242093,65.0
10.595952,49.8285462,1311.0
10.6342718,49.8231709,101.0
10.6779549,49.8179438,100.0
10.6978714,49.821145,70.0
10.7107742,49.8255176,15.0
12.2795475,51.8421199,2455.0
10.7786186,49.8252652,240.0
10.780621,49.7995668,35.0
10.8049418,49.7743051,922.0
11.2401566,48.8606793,577.0
7.2272534,50.6448582,24845.0
6.9491436,50.6256808,26790.0
8.837961,53.03885,35464.0
8.7928381,53.0695355,43241.0
10.98564,49.1053751,7405.0
11.0207677,49.3290521,40428.0
9.218655,49.142291,131653.0
13.6603457,50.9199287,729.0
13.6450675,50.9164842,698.0
13.6392405,50.9337129,1015.0
9.7873454,53.1187799,18723.0
12.0932318,50.5239904,769.0
11.1328485,49.6206195,81.0
11.414012,48.8236836,3409.0
11.4044303,48.8039515,4417.0
7.0395017,52.1799123,15000.0
6.6193924,51.226675,42001.0
11.2580389,49.7022098,2052.0
7.1930989,50.6739719,39976.0
13.1694372,50.8614612,8258.0
7.6355052,51.66268,29448.0
13.4305634,54.4172673,14328.0
13.2928842,54.3548328,2209.0
12.8857023,54.2007307,1319.0
12.2896004,51.8245824,1900.0
7.866523,49.9563321,2514.0
7.8347034,49.9514745,4015.0
7.833602,49.9285787,791.0
7.8152861,49.9056379,1776.0
7.8421463,49.8906992,2509.0
7.8660661,49.8707576,4300.0
7.8657658,49.8431642,52385.0
7.82671,49.8628901,2857.0
7.8928797,49.9433503,2929.0
10.3364483,51.8070405,15413.0
8.5287483,49.0035346,7326.0
10.8952847,49.5921291,294.0
7.9802666,48.5387171,9798.0
10.8774157,49.631558,2405.0
7.7684146,49.8882785,1563.0
7.7628872,49.9045421,509.0
11.0300348,49.7725424,660.0
11.0535303,49.7721617,6352.0
11.0477304,49.7868307,420.0
11.0287518,49.8027526,3277.0
7.595491,47.6321888,2424.0
11.8819902,48.4330902,606.0
13.3601058,51.4274294,250.0
13.3682892,51.4440647,466.0
13.3382965,51.3323702,5891.0
13.39272,51.5158115,9486.0
12.8053739,51.3897098,270.0
12.7410574,51.3709574,16327.0
10.8429636,50.1876408,4082.0
12.3234179,47.7764994,5575.0
13.8336781,52.0338295,413.0
13.8914786,52.0292762,659.0
10.008474,49.8291778,4872.0
10.9790956,49.7595157,3933.0
10.8659251,49.7674909,133.0
10.8483819,49.7770116,62.0
10.8422095,49.7807144,590.0
10.8248144,49.7783883,89.0
10.7952622,49.7632033,58.0
9.6264045,48.5620891,2291.0
10.081052,52.624056,69748.0
10.0803057,49.7647295,1177.0
8.0187576,49.1395457,2372.0
9.9803941,49.760046,3430.0
12.6817097,51.3548779,938.0
12.5935695,51.3153538,912.0
13.2672796,51.4194027,200.0
12.7961723,51.2290503,159.0
12.7751904,51.2293622,325.0
12.7579731,51.2290693,221.0
12.7287511,51.2383379,28.5
12.7131445,51.273338,649.0
12.3139309,51.7681686,187.0
12.8424425,51.3420486,662.0
10.0638548,49.744689,123.0
9.3517336,48.8748352,9490.0
7.0158171,51.4582235,569884.0
6.3160684,51.080992,42792.0
8.2704865,48.9328266,11954.0
8.2383062,48.8894679,4334.0
7.6610865,47.714697,4000.0
7.6607218,47.6120896,48307.0
13.3505194,51.5119509,160.0
13.2990862,51.5296434,214.0
9.2023778,50.0039936,13359.0
9.1529545,49.9102501,7125.0
9.0857089,49.981916,8330.0
9.2080712,49.9464263,1404.0
12.737312,51.3245474,393.0
12.7370572,51.3163211,99.0
12.739817,51.3070021,49.0
12.7496662,51.187791,3724.0
12.7619022,51.1681758,211.0
12.75988,51.1506319,550.0
12.8065842,51.1295496,8828.0
6.2776865,51.1423588,27713.0
12.9938343,50.7513151,1500.0
6.524947,49.9732762,15228.0
12.0483883,49.8382784,5369.0
11.0962815,47.4923741,26102.0
8.3071734,54.9064856,9078.0
7.6163573,47.6152532,8000.0
7.6116133,47.5932802,30000.0
7.565174,47.6556421,8349.0
9.4614261,48.8864514,370.0
9.4563307,48.8905634,125.0
9.4713479,48.8726249,470.0
9.4687336,48.8608214,1200.0
9.4541081,48.8566825,300.0
9.4534819,48.8475285,130.0
9.4531107,48.8430917,830.0
9.4432373,48.8406958,220.0
10.6993217,47.5675998,14139.0
7.7035695,53.6992698,1084.0
8.7554739,52.0771518,30000.0
8.9012894,52.0280674,40717.0
