comparison,zone,bus_count,share_mass_shifted,mean_abs_delta,max_increase_bus,max_increase_delta,max_decrease_bus,max_decrease_delta
softmap_vs_reference,50Hertz,127,0.1466994276646565,0.002310227207317425,B303,0.0170643926102389,B574,-0.018744095742800004
dynamic_vs_reference,50Hertz,127,0.1466994276646565,0.002310227207317425,B303,0.0170643926102389,B574,-0.018744095742800004
softmap_vs_reference,Amprion,304,0.20085573672048018,0.0013214193205294748,B20,0.0070672698850961,B480,-0.0139996549078549
dynamic_vs_reference,Amprion,304,0.20085573672048018,0.0013214193205294748,B20,0.0070672698850961,B480,-0.0139996549078549
softmap_vs_reference,TenneT,190,0.1665331287738653,0.0017529803028827928,B481,0.0079879316894714,B549,-0.0165838640865174
dynamic_vs_reference,TenneT,190,0.1665331287738653,0.0017529803028827928,B481,0.0079879316894714,B549,-0.0165838640865174
softmap_vs_reference,TransnetBW,162,0.17593771201052139,0.0021720705186484123,B409,0.013645549584173699,B678,-0.01970171401800879
dynamic_vs_reference,TransnetBW,162,0.17593771201052139,0.0021720705186484123,B409,0.013645549584173699,B678,-0.01970171401800879
