Zone,Opr_cost ($)_prestructural,LoL_plt ($)_prestructural,Total_cost ($)_prestructural,Opr_cost ($)_structural,LoL_plt ($)_structural,Total_cost ($)_structural,Delta_Total_cost_$,Pct_Delta_Total_cost
50Hertz,2562207.875847606,0.0,2562207.875847606,2561456.4160011574,0.0,2561456.4160011574,-751.4598464486189,-0.000293286057517885
Amprion,1783331.8534588376,0.0,1783331.8534588376,1733725.6719786013,0.0,1733725.6719786013,-49606.18148023635,-0.027816573445948012
TenneT,3517011.8712063422,0.0,3517011.8712063422,3589982.774103286,0.0,3589982.774103286,72970.90289694397,0.020747983108716322
TransnetBW,1750254.9453779403,0.0,1750254.9453779403,1717739.8023182284,0.0,1717739.8023182284,-32515.143059711903,-0.018577375339277082
TOTAL,9612806.545890726,0.0,9612806.545890726,9602904.664401272,0.0,9602904.664401272,-9901.881489453837,-0.0010300718569736208
