Zone,Opr_cost ($)_old,LoL_plt ($)_old,Total_cost ($)_old,Opr_cost ($)_new,LoL_plt ($)_new,Total_cost ($)_new,Delta_Opr_cost_$,Delta_Total_cost_$,Pct_Delta_Total_cost
50Hertz,2597495.802028371,0.0,2597495.802028371,2562207.875847606,0.0,2562207.875847606,-35287.92618076503,-35287.92618076503,-0.01358536408536594
Amprion,1838962.1378662365,0.0,1838962.1378662365,1783331.8534588376,0.0,1783331.8534588376,-55630.284407398896,-55630.284407398896,-0.03025091341573089
TenneT,3784025.494850266,0.0,3784025.494850266,3517011.8712063422,0.0,3517011.8712063422,-267013.62364392355,-267013.62364392355,-0.07056337860495554
TransnetBW,1776371.6028065062,0.0,1776371.6028065062,1750254.9453779403,0.0,1750254.9453779403,-26116.6574285659,-26116.6574285659,-0.014702248891675564
TOTAL,9996855.037551379,0.0,9996855.037551379,9612806.545890726,0.0,9612806.545890726,-384048.4916606527,-384048.4916606527,-0.03841693114665001
