Metric,Baseline,Updated,Delta,DeltaPct
TotalCost_$,38347584.766253725,38276581.05410363,-71003.7121500969,-0.185164336941227
TotalBindingHours,1223,1361,138,11.283728536386
AbsCongestionRent_$,10162729.987745564,9350581.232330544,-812148.75541502,-7.991508040332365
MeanLoadWeightedLMP_$perMWh,9.072065635600813,9.027266381134153,-0.04479925446666083,-0.4938171883465796
