"Season","BaselineTotalCost","BTMTotalCost","DeltaTotalCost","DeltaTotalCost_pct","BaselineCurtailment_MWh","BTMCurtailment_MWh","DeltaCurtailment_MWh","BaselineEmissions_ton","BTMEmissions_ton","DeltaEmissions_ton","BaselineMeanLMP","BTMMeanLMP","DeltaMeanLMP","BaselineAvgSpread","BTMAvgSpread","DeltaAvgSpread","BaselineMaxSpread","BTMMaxSpread","DeltaMaxSpread","BaselineBindingHours","BTMBindingHours","DeltaBindingHours","BaselineAbsRent","BTMAbsRent","DeltaAbsRent","BaselinePositiveRent","BTMPositiveRent","DeltaPositiveRent","RealizedBTMPV_MWh","RealizedBTMPV_pct"
"winter","178646993.877779","176145295.526933","-2501698.35084638","-1.40035849277033","131071.629348504","131162.912234892","91.2828863880713","2787974.05159219","2723998.55483005","-63975.4967621425","35.3625805923552","35.3858244490461","0.0232438566908968","26.0200036204786","26.239795336991","0.219791716512336","55.4257612959029","61.9687491763656","6.54298788046267","536","537","1","9102510.10552812","9149194.83992506","46684.7343969345","8379720.14608205","8412551.18150552","32831.0354234707","71426.7586292463","0.697301899850693"
"summer","63327748.5781777","58615658.1137218","-4712090.46445581","-7.44079897083151","197695.13582051","215900.367667747","18205.2318472373","222587.306007047","176872.973128693","-45714.3328783543","19.210574135028","18.2927352482937","-0.917838886734334","28.2359988589801","27.1138329808359","-1.12216587814412","83.7664153872784","81.7959140761592","-1.97050131111919","326","308","-18","11424648.1811944","10590847.6176825","-833800.563511968","8361004.82144428","7747176.46649926","-613828.354945016","336581.726331038","4.10878346928549"
