Line,From_bus,To_bus,CapacityMW,HoursBinding_old,HoursBinding_new,MaxAbsShadow_old,MaxAbsShadow_new,Delta_HoursBinding
673,B562,B39,173.162,16,0,14.190634929051182,0.0,-16
138,B126,B172,173.162,15,0,14.219679781725766,0.0,-15
