"Season","Scenario","BTMScale","TotalCost","OperatingCost","LoadSheddingPenalty","TotalLoad_MWh","TotalCurtailment_MWh","CurtailmentShare_pct","TotalEmissions_ton","MaxHourlyLoad_MW","MeanLoadWeightedLMP","AvgHourlyNodalLMPSpread","MaxHourlyNodalLMPSpread","TotalBindingHours","PositiveCongestionRent","AbsCongestionRent","RealizedBTMPV_MWh","RealizedBTMPV_pct"
"winter","low","0.75","176768398.739532","176768398.739532","0","10243304.75","131162.504032912","1.28047058282545","2739588.7727192","72762","35.3976843983501","26.2221124331905","56.8244483894675","536","8407213.54093084","9142852.35896796","53570.0689719347","0.52297642488802"
"winter","base","1","176145295.526933","176145295.526933","0","10243304.75","131162.912234892","1.28047456788682","2723998.55483005","72762","35.3858244490461","26.239795336991","61.9687491763656","537","8412551.18150552","9149194.83992506","71426.7586292463","0.697301899850693"
"winter","high","1.25","175524826.558453","175524826.558453","0","10243304.75","131163.4738628","1.28048005076487","2709002.97740201","72762","35.3584955956651","26.2998567880408","62.9107141401004","534","8449816.35266214","9203625.5716942","89283.4482865579","0.871627374813367"
"summer","low","0.75","59707558.1159542","59707558.1159542","0","8191761.11","207612.586986221","2.53440724403914","186006.086062902","61184.04","18.6373052313578","27.7343610884315","85.8370353960447","321","7974208.10277419","10916141.630692","252436.294748278","3.08158760196412"
"summer","base","1","58615658.1137218","58615658.1137218","0","8191761.11","215900.367667747","2.63557939213082","176872.973128693","61184.04","18.2927352482937","27.1138329808359","81.7959140761592","308","7747176.46649926","10590847.6176825","336581.726331038","4.10878346928549"
"summer","high","1.25","57570005.3777671","57570005.3777671","0","8191761.11","228895.551316628","2.79421663111252","167249.69348693","61184.04","18.006090780411","26.9019626870744","80.9396958100396","308","7621856.03141935","10426449.9232696","420727.157913797","5.13597933660687"
