Hour,Load_MW_old,Generation_MW_old,StorageCharge_MW_old,StorageDischarge_MW_old,TransmissionLoss_MW_old,LoadShedding_MW_old,Curtailment_MW_old,AvgLMP_LoadWeighted_old,TotalEmissions_ton_old,Load_MW_new,Generation_MW_new,StorageCharge_MW_new,StorageDischarge_MW_new,TransmissionLoss_MW_new,LoadShedding_MW_new,Curtailment_MW_new,AvgLMP_LoadWeighted_new,TotalEmissions_ton_new,Delta_Generation_MW,Delta_StorageCharge_MW,Delta_StorageDischarge_MW,Delta_Curtailment_MW,Delta_AvgLMP_LoadWeighted,Delta_TotalEmissions_ton
1,47742.5,35624.507709670586,0.0,12117.992290329414,0.0,0.0,34665.05081308782,2.9972442378211537,0.0,47742.5,35666.129400746715,0.0,12076.37059925326,0.0,0.0,34623.42912201172,2.9995683291509403,0.0,41.62169107612863,0.0,-41.62169107615409,-41.62169107609952,0.002324091329786615,0.0
2,46867.5,48372.90226817996,1505.4022681799645,0.0,0.0,0.0,22984.936908406584,3.000000000000004,0.0,46867.5,48813.20315158332,1945.703151583403,0.0,0.0,0.0,22544.6360250032,2.9999999999999987,0.0,440.3008834033608,440.30088340343855,0.0,-440.3008834033826,-5.329070518200751e-15,0.0
3,45798.0,47128.83342324054,1330.8334232404973,0.0,0.0,0.0,25153.282251242767,3.0000000000000027,0.0,45798.0,46234.905140209135,436.9051402090812,0.0,0.0,0.0,26047.2105342742,2.99999999999999,0.0,-893.9282830314041,-893.9282830314161,0.0,893.9282830314332,-1.2878587085651816e-14,0.0
4,44624.25,45423.06351972328,798.8135197232473,0.0,0.0,0.0,23242.72960434156,3.000000000000008,0.0,44624.25,46277.88877777778,1653.6387777777777,0.0,0.0,0.0,22387.90434628704,2.9999999999999987,0.0,854.8252580545013,854.8252580545304,0.0,-854.8252580545195,-9.325873406851315e-15,0.0
5,43626.25,44301.06293174608,674.8129317460309,0.0,0.0,0.0,24128.090719307096,3.000000000000003,0.0,43626.25,43920.0658572223,293.81585722222235,0.0,0.0,0.0,24509.08779383092,3.0000000000000018,0.0,-380.9970745237806,-380.9970745238086,0.0,380.99707452382427,-1.3322676295501878e-15,0.0
6,43839.25,44129.67427222229,290.4242722222222,0.0,0.0,0.0,24880.78959742917,2.9999999999999947,0.0,43839.25,44813.60781152047,974.3578115204224,0.0,0.0,0.0,24196.856058130965,3.0,0.0,683.9335392981811,683.9335392982002,0.0,-683.9335392982066,5.329070518200751e-15,0.0
7,43176.25,44704.18066976192,1527.9306697619047,0.0,0.0,0.0,27770.565196762265,2.999999999999995,0.0,43176.25,44874.8339518924,1698.583951892375,0.0,0.0,0.0,27599.911914631783,3.000000000000001,0.0,170.65328213047906,170.6532821304702,0.0,-170.6532821304827,5.773159728050814e-15,0.0
8,43525.0,45111.80803331304,1586.8080333130858,0.0,0.0,0.0,29197.44965768046,3.000000000000005,0.0,43525.0,44468.32406851002,943.3240685101274,0.0,0.0,0.0,29840.93362248344,3.0000000000000004,0.0,-643.4839648030247,-643.4839648029584,0.0,643.4839648029811,-4.440892098500626e-15,0.0
9,45659.75,46814.97413666669,1155.2241366666672,0.0,0.0,0.0,29520.84195655087,3.0000000000000004,0.0,45659.75,45761.56527777784,101.81527777777778,0.0,0.0,0.0,30574.25081543978,3.0000000000000004,0.0,-1053.4088588888553,-1053.4088588888894,0.0,1053.40885888891,0.0,0.0
10,47681.25,48407.97840552236,726.7284055223848,0.0,0.0,0.0,28323.46647898777,2.9999999999999867,0.0,47681.25,48465.66969246703,784.419692467047,0.0,0.0,0.0,28265.77519204313,3.0,0.0,57.691286944675085,57.691286944662124,0.0,-57.69128694464234,1.3322676295501878e-14,0.0
