Zone,Opr_cost ($)_old,LoL_plt ($)_old,Total_cost ($)_old,Opr_cost ($)_new,LoL_plt ($)_new,Total_cost ($)_new,Opr_cost ($) delta,LoL_plt ($) delta,Total_cost ($) delta
50Hertz,2597495.802028371,0.0,2597495.802028371,2696145.573103051,0.0,2696145.573103051,98649.77107468015,0.0,98649.77107468015
Amprion,1838962.1378662365,0.0,1838962.1378662365,1707293.492086719,0.0,1707293.492086719,-131668.64577951748,0.0,-131668.64577951748
TenneT,3784025.494850266,0.0,3784025.494850266,3826764.0196806113,0.0,3826764.0196806113,42738.52483034553,0.0,42738.52483034553
TransnetBW,1776371.6028065062,0.0,1776371.6028065062,1736563.2025791062,0.0,1736563.2025791062,-39808.40022740001,0.0,-39808.40022740001
