Zone_id,buses,l1_share_shift,max_bus_gain,max_bus_loss,share_mass_moved
50Hertz,127,0.8685543919495807,0.0588065085308452,-0.0114377242200878,0.43427719597479036
Amprion,304,0.9437718550833853,0.0295423279099995,-0.00519902655985745,0.4718859275416927
TenneT,190,0.8802671350877161,0.0463716033732805,-0.0066187410891829996,0.4401335675438581
TransnetBW,162,0.8080420483050734,0.07176354507550839,-0.0091201483211115,0.4040210241525367
