Line,From_bus,To_bus,From_zone,To_zone,PreStructuralHoursBinding,StructuralHoursBinding,DeltaHoursBinding,PreStructuralCongestionRent,StructuralCongestionRent,DeltaCongestionRent
649,B458,B523,TenneT,TenneT,0.0,0.0,0.0,-7645.369871997926,-6364.181477549207,1281.188394448719
650,B33,B523,TenneT,TenneT,0.0,0.0,0.0,0.0,0.0,0.0
651,B523,B522,TenneT,TenneT,0.0,0.0,0.0,-9413.424659557195,-8021.414741027101,1392.0099185300942
652,B359,B454,Amprion,Amprion,0.0,0.0,0.0,2082.9029752262463,1437.8640252436003,-645.038949982646
653,B454,B642,Amprion,Amprion,0.0,0.0,0.0,1120.744124170352,1240.815990574492,120.07186640413988
654,B675,B611,TenneT,50Hertz,0.0,0.0,0.0,-106.78025217071078,-145.36984632234024,-38.589594151629456
655,B754,B755,50Hertz,50Hertz,0.0,0.0,0.0,518.3325394475411,452.66933971992825,-65.66319972761283
656,B754,B755,50Hertz,50Hertz,0.0,0.0,0.0,518.3325394475124,452.66933971992773,-65.6631997275847
657,B396,B399,50Hertz,50Hertz,0.0,0.0,0.0,48.99680628902164,49.124533488361365,0.12772719933972354
658,B396,B399,50Hertz,50Hertz,0.0,0.0,0.0,48.99680628902155,49.12453348836197,0.12772719934041987
659,B277,B755,50Hertz,50Hertz,0.0,0.0,0.0,797.5462369994893,998.39331337163,200.8470763721407
660,B396,B755,50Hertz,50Hertz,0.0,0.0,0.0,4457.435585149508,4355.653245121608,-101.78234002790032
661,B354,B547,Amprion,TenneT,0.0,0.0,0.0,0.0,0.0,0.0
662,B547,B34,TenneT,Amprion,0.0,0.0,0.0,0.0,0.0,0.0
663,B610,B538,50Hertz,50Hertz,0.0,0.0,0.0,0.0,0.0,0.0
664,B538,B529,50Hertz,50Hertz,0.0,0.0,0.0,0.0,0.0,0.0
665,B577,B688,TenneT,TenneT,0.0,0.0,0.0,8.022027532820358,16.29089988732944,8.268872354509083
666,B43,B736,TransnetBW,TransnetBW,0.0,0.0,0.0,0.0,0.0,0.0
667,B275,B586,TransnetBW,TransnetBW,0.0,0.0,0.0,0.0,0.0,0.0
668,B587,B275,TransnetBW,TransnetBW,0.0,0.0,0.0,0.0,0.0,0.0
669,B35,B36,Amprion,Amprion,40.0,37.0,-3.0,72706.43820090711,73806.38630636776,1099.948105460644
670,B543,B321,TenneT,50Hertz,0.0,0.0,0.0,0.0,0.0,0.0
671,B481,B326,TenneT,TenneT,0.0,0.0,0.0,-1182.5224348631925,-947.6079030437967,234.91453181939585
672,B606,B272,TenneT,TenneT,0.0,0.0,0.0,-2286.0433355860478,-1897.2281661141892,388.81516947185855
673,B562,B39,TenneT,TenneT,0.0,0.0,0.0,0.0,0.0,0.0
674,B385,B1,TransnetBW,TransnetBW,0.0,0.0,0.0,14677.084023835221,14573.044130030243,-104.03989380497842
675,B331,B335,TransnetBW,TransnetBW,0.0,0.0,0.0,26522.361914525314,25052.866932955534,-1469.49498156978
676,B339,B355,Amprion,Amprion,87.0,87.0,0.0,67943.52560715507,73521.05158603552,5577.525978880454
677,B544,B373,TenneT,TenneT,0.0,0.0,0.0,0.0,0.0,0.0
678,B361,B40,TenneT,TenneT,0.0,0.0,0.0,-0.0,-0.0,0.0
679,B40,B475,TenneT,TenneT,24.0,75.0,51.0,-1934.2262336648398,153678.70276822944,155612.92900189428
680,B436,B282,50Hertz,50Hertz,0.0,0.0,0.0,0.0,0.0,0.0
681,B408,B436,50Hertz,50Hertz,0.0,0.0,0.0,0.0,0.0,0.0
682,B463,B382,TransnetBW,TransnetBW,0.0,0.0,0.0,590.3069580336279,394.912439750436,-195.39451828319187
683,B458,B523,TenneT,TenneT,0.0,0.0,0.0,-7645.369871997931,-6364.1814775491775,1281.1883944487536
684,B409,B455,TransnetBW,TenneT,0.0,0.0,0.0,1120.198934206866,1016.4727532084512,-103.72618099841475
685,B445,B286,TenneT,TenneT,0.0,0.0,0.0,2350.5009989080354,2866.3933240566794,515.892325148644
686,B382,B702,TransnetBW,TransnetBW,0.0,0.0,0.0,-43134.39379232953,-41766.12585289765,1368.2679394318839
687,B410,B453,TransnetBW,TransnetBW,0.0,0.0,0.0,0.0,0.0,0.0
688,B543,B321,TenneT,50Hertz,0.0,0.0,0.0,0.0,0.0,0.0
689,B578,B315,TenneT,TenneT,0.0,0.0,0.0,-85.41616433957698,-83.62670203212548,1.789462307451501
