"Season","TotalCost","OperatingCost","LoadSheddingPenalty","TotalLoad_MWh","TotalCurtailment_MWh","CurtailmentShare_pct","TotalEmissions_ton","MaxHourlyLoad_MW","MeanLoadWeightedLMP","AvgHourlyNodalLMPSpread","MaxHourlyNodalLMPSpread","TotalBindingHours","PositiveCongestionRent","AbsCongestionRent","RealizedBTMPV_MWh","RealizedBTMPV_pct"
"winter","176145295.526933","176145295.526933","0","10243304.75","131162.912234892","1.28047456788682","2723998.55483005","72762","35.3858244490461","26.239795336991","61.9687491763656","537","8412551.18150552","9149194.83992506","71426.7586292463","0.697301899850693"
"summer","58615658.1137218","58615658.1137218","0","8191761.11","215900.367667747","2.63557939213082","176872.973128693","61184.04","18.2927352482937","27.1138329808359","81.7959140761592","308","7747176.46649926","10590847.6176825","336581.726331038","4.10878346928549"
