zone,dynamic,reference_egon,softmap,softmap_minus_reference_$,dynamic_minus_reference_$,dynamic_minus_softmap_$,softmap_minus_reference_%,dynamic_minus_reference_%,dynamic_minus_softmap_%
50Hertz,2643975.426225904,2696145.573103051,2635032.21086052,-61113.36224253103,-52170.14687714726,8943.215365383774,-2.2666937146199553,-1.9349899870986391,0.33939681376658376
Amprion,1784882.6926326538,1707293.492086719,1797380.2846610842,90086.79257436516,77589.20054593473,-12497.59202843043,5.276585015518196,4.54457308632403,-0.6953226390144247
TOTAL,9949935.921735214,9966766.287449487,9951388.130391102,-15378.15705838427,-16830.365714272484,-1452.2086558882147,-0.1542943479847521,-0.16886485775698273,-0.014593025986527782
TenneT,3775573.943915008,3826764.0196806113,3774427.279348047,-52336.74033256434,-51190.07576560322,1146.664566961117,-1.3676500579445832,-1.33768571833378,0.03037982936471303
TransnetBW,1745503.8589616497,1736563.2025791062,1744548.355521452,7985.1529423457105,8940.6563825435,955.50344019779,0.4598250688766371,0.514847738870951,0.05477082003337113
