"Season","Scenario","BTMScale","TotalCost","DeltaVsNoBTM","DeltaVsNoBTM_pct","DeltaVsBase","MeanLoadWeightedLMP","DeltaLMPVsNoBTM","AvgSpread","DeltaSpreadVsNoBTM","BindingHours","DeltaBindingVsNoBTM","AbsRent","DeltaAbsRentVsNoBTM","Emissions_ton","DeltaEmissionsVsNoBTM","Curtailment_MWh","DeltaCurtailmentVsNoBTM","RealizedBTMPV_MWh","RealizedBTMPV_pct"
"winter","low","0.75","176768398.739532","-1878595.13824698","-1.05156828977051","623103.212599397","35.3976843983501","0.0351038059948863","26.2221124331905","0.202108812711863","536","0","9142852.35896796","40342.2534398399","2739588.7727192","-48385.2788729896","131162.504032912","90.8746844076377","53570.0689719347","0.52297642488802"
"winter","base","1","176145295.526933","-2501698.35084638","-1.40035849277033","0","35.3858244490461","0.0232438566908968","26.239795336991","0.219791716512336","537","1","9149194.83992506","46684.7343969345","2723998.55483005","-63975.4967621425","131162.912234892","91.2828863880713","71426.7586292463","0.697301899850693"
"winter","high","1.25","175524826.558453","-3122167.31932595","-1.74767414304322","-620468.968479574","35.3584955956651","-0.00408499669008222","26.2998567880408","0.279853167562209","534","-2","9203625.5716942","101115.466166079","2709002.97740201","-78971.0741901789","131163.4738628","91.844514295808","89283.4482865579","0.871627374813367"
"summer","low","0.75","59707558.1159542","-3620190.46222343","-5.71659429476531","1091900.00223239","18.6373052313578","-0.573268903670261","27.7343610884315","-0.501637770548573","321","-5","10916141.630692","-508506.550502462","186006.086062902","-36581.219944145","207612.586986221","9917.45116571148","252436.294748278","3.08158760196412"
"summer","base","1","58615658.1137218","-4712090.46445581","-7.44079897083151","0","18.2927352482937","-0.917838886734334","27.1138329808359","-1.12216587814412","308","-18","10590847.6176825","-833800.563511968","176872.973128693","-45714.3328783543","215900.367667747","18205.2318472373","336581.726331038","4.10878346928549"
"summer","high","1.25","57570005.3777671","-5757743.2004106","-9.09197520783911","-1045652.73595478","18.006090780411","-1.20448335461707","26.9019626870744","-1.3340361719057","308","-18","10426449.9232696","-998198.257924816","167249.69348693","-55337.6125201177","228895.551316628","31200.4154961182","420727.157913797","5.13597933660687"
