Zone_id,weight_source,households_weight_2day,cts_weight_2day,industry_weight_2day,fallback_households_weight,fallback_cts_weight,fallback_industry_weight,hh_mean_mw_proxy,cts_mean_mw_proxy,industry_mean_mw_proxy,households_weight_full_year,cts_weight_full_year,industry_weight_full_year
TransnetBW,structural_full_year_reference,0.2720204881167815,0.3193340354113314,0.408645476471887,0.5238545607110761,0.326145439288924,0.15,3844.0148437500006,2393.2366039654507,0.0,0.2720204881167815,0.3193340354113314,0.4086454764718871
Amprion,structural_full_year_reference,0.2724494419274791,0.3276209658687457,0.3999295922037751,0.5202269689368243,0.3297730310631757,0.15,4574.119708333333,2899.544642496365,0.0,0.2724494419274791,0.3276209658687457,0.3999295922037751
50Hertz,structural_full_year_reference,0.2913723859179746,0.3073803085868493,0.4012473054951761,0.5523241145582919,0.2976758854417082,0.15,3051.8957291666666,1644.8236452286485,0.0,0.2913723859179746,0.3073803085868493,0.401247305495176
TenneT,structural_full_year_reference,0.2809576125102712,0.3213207388393728,0.397721648650356,0.532901478717862,0.3170985212821381,0.15,3925.1759791666655,2335.6427941625057,0.0,0.2809576125102712,0.3213207388393728,0.3977216486503559
