Metric,Baseline,Updated,Delta,DeltaPct
TotalCost_$,38276581.05410363,37931803.58961638,-344777.46448724717,-0.9007337889274297
TotalBindingHours,1361,1343,-18,-1.3225569434239529
AbsCongestionRent_$,9350581.232330544,8888529.942050334,-462051.29028020985,-4.941435759706836
MeanLoadWeightedLMP_$perMWh,9.027266381134153,8.918240523122599,-0.10902585801155423,-1.2077086389634563
