Zone,PreStructuralTotalCost,StructuralTotalCost,Delta,DeltaPct
50Hertz,10552014.918221656,10505717.93209561,-46296.98612604663,-0.43875019590902087
Amprion,6568618.354480745,6492788.425672642,-75829.92880810332,-1.1544273805522034
TenneT,14625088.158924853,14665751.217895221,40663.058970367536,0.2780363340617075
TransnetBW,6732882.248661405,6683327.190590254,-49555.058071151376,-0.7360155166979734
