Bus_id,Zone_id,Load_share_old,Demand (MW)_old,Load_share_new,Demand (MW)_new,delta_share,abs_delta_share,delta_demand_mw
B678,TransnetBW,0.0070097630606951,68.05603711552392,0.0787733081362035,764.7903553673665,0.07176354507550839,0.07176354507550839,696.7343182518425
B574,50Hertz,0.0072063384408926,121.1445304523111,0.0660128469717378,1109.7307482579,0.0588065085308452,0.0588065085308452,988.5862178055888
B760,50Hertz,0.008735326292443,146.8480852967904,0.0596749851785734,1003.1860310895182,0.0509396588861304,0.0509396588861304,856.3379457927279
B445,TenneT,0.0062827399031424,143.93003189310943,0.0526543432764229,1206.247819250918,0.0463716033732805,0.0463716033732805,1062.3177873578086
B549,TenneT,0.0053139968337687,121.73729066544074,0.047956582370592,1098.6277542114185,0.0426425855368233,0.0426425855368233,976.8904635459778
B453,TransnetBW,0.0058939376945241,57.22276759171096,0.0471595240449007,457.86002907093,0.0412655863503766,0.0412655863503766,400.63726147921903
B439,50Hertz,0.0069582648654511,116.97420774807134,0.0477168929318636,802.1605752057607,0.0407586280664125,0.0407586280664125,685.1863674576894
B432,50Hertz,0.0066300259963821,111.4562399207607,0.0421285898802906,708.216562617286,0.0354985638839085,0.0354985638839085,596.7603226965252
B70,TenneT,0.0053807181345429,123.26579560061803,0.0385821304794369,883.8703107273253,0.033201412344894,0.033201412344894,760.6045151267073
B431,TransnetBW,0.00630359516005,61.20002951013575,0.0372867023080605,362.0072710333829,0.0309831071480105,0.0309831071480105,300.80724152324717
B580,50Hertz,0.0076296409945057,128.26059771966743,0.0375344286717592,630.9848995480701,0.0299047876772535,0.0299047876772535,502.72430182840264
B450,TenneT,0.0041714625401082,95.56320103883208,0.0339848058654787,778.5511206110804,0.0298133433253705,0.0298133433253705,682.9879195722483
B480,Amprion,0.0043049257999851,117.17900404414458,0.0338472537099846,921.313784172355,0.0295423279099995,0.0295423279099995,804.1347801282104
B661,50Hertz,0.0075227547694226,126.46375156045367,0.0370562277241631,622.9459447121943,0.0295334729547405,0.0295334729547405,496.48219315174066
