CaseLabel,Season,TotalCost_$,OperatingCost_$,LoadSheddingPenalty_$,TotalLoad_MWh,TotalCurtailment_MWh,CurtailmentShare_pct,TotalEmissions_ton,MaxHourlyLoad_MW,MeanLoadWeightedLMP_$perMWh,AvgHourlyNodalLMPSpread_$perMWh,MaxHourlyNodalLMPSpread_$perMWh,TotalBindingHours,PositiveCongestionRent_$,AbsCongestionRent_$
jan_week3,winter,176145295.52693295,176145295.52693295,0.0,10243304.75,131162.91223489228,1.2804745678868168,2723998.55483005,72762.0,35.30816427971082,26.239795336990987,61.968749176365556,537,8412551.18150552,9149194.839925064
apr_week3,spring,52782164.51528076,52782164.51528076,0.0,8013259.34,273896.8646583469,3.418045679504327,44679.588580900425,64819.58,17.137881126772495,28.663559122298853,81.93005282232916,371,7558503.953462171,10370607.901548928
jul_week3,summer,58615658.11372185,58615658.11372185,0.0,8191761.11,215900.3676677471,2.6355793921308224,176872.9731286929,61184.04,18.194123480999448,27.113832980835955,81.7959140761592,308,7747176.466499261,10590847.617682468
oct_week3,autumn,63363978.465579435,63363978.465579435,0.0,9171460.3,677788.2201622659,7.390188672160156,314236.24399489345,67532.29,19.03531771382205,30.888828695881518,96.96442088575373,684,10211141.899446761,13451074.651830094
