CaseLabel,Season,TotalCost_$,OperatingCost_$,LoadSheddingPenalty_$,TotalLoad_MWh,TotalCurtailment_MWh,CurtailmentShare_pct,TotalEmissions_ton,MaxHourlyLoad_MW,MeanLoadWeightedLMP_$perMWh,AvgHourlyNodalLMPSpread_$perMWh,MaxHourlyNodalLMPSpread_$perMWh,TotalBindingHours,PositiveCongestionRent_$,AbsCongestionRent_$
jan_week3,winter,178646993.87777933,178646993.87777933,0.0,10243304.75,131071.62934850415,1.2795834210487993,2787974.0515921926,72762.0,35.36258059235523,26.02000362047863,55.42576129590289,536,8379720.1460820455,9102510.105528124
apr_week3,spring,55971384.364132285,55971384.364132285,0.0,8013259.34,249850.85845863714,3.1179679560781213,53229.89767379527,64819.58,17.891471665483607,29.090080765611383,86.76810197617259,421,8144896.414170636,11168247.173317019
jul_week3,summer,63327748.57817766,63327748.57817766,0.0,8191761.11,197695.13582050972,2.4133410772828277,222587.30600704724,61184.04,19.210574135028022,28.23599885898006,83.7664153872784,326,8361004.8214442795,11424648.181194449
oct_week3,autumn,65931864.3516142,65931864.3516142,0.0,9171460.3,651946.8332415886,7.108429976430127,353546.3030228272,67532.29,20.005132768812143,31.594810747628905,96.96442088575068,683,11015329.746408423,14455879.483303515
